estimating workload which takes just one millisecond
end estimation
1	1	1
1	2	2
1	4	3
1	5	4
1	6	5
1	7	6
1	8	7
1	18	8
1	19	9
1	20	10
1	21	11
1	23	12
1	24	13
1	25	14
1	26	15
1	28	16
1	29	17
1	42	18
1	43	19
1	45	20
1	46	21
1	47	22
1	48	23
1	50	24
1	51	25
1	52	26
1	53	27
1	67	28
1	68	29
1	69	30
1	70	31
1	71	32
1	73	33
1	74	34
1	75	35
1	76	36
1	98	37
1	99	38
1	100	39
1	101	40
1	103	41
1	104	42
1	105	43
1	106	44
1	108	45
1	109	46
1	110	47
1	111	48
1	113	49
1	114	50
1	115	51
1	116	52
1	138	53
1	139	54
1	140	55
1	141	56
1	143	57
1	144	58
1	145	59
1	146	60
1	148	61
1	149	62
1	150	63
1	151	64
1	152	65
1	154	66
1	155	67
1	156	68
1	174	69
1	175	70
1	176	71
1	177	72
1	179	73
1	180	74
1	181	75
1	182	76
1	184	77
1	185	78
1	198	79
1	199	80
1	200	81
1	202	82
1	203	83
1	204	84
1	217	85
1	219	86
1	220	87
1	221	88
1	222	89
1	224	90
1	225	91
1	226	92
1	227	93
1	229	94
1	242	95
1	243	96
1	244	97
1	246	98
1	247	99
1	248	100
estimating workload which takes just one millisecond
end estimation
0	11	1
0	12	2
0	13	3
0	14	4
0	16	5
0	17	6
0	30	7
0	31	8
0	33	9
0	34	10
0	35	11
0	36	12
0	38	13
0	39	14
0	40	15
0	41	16
0	55	17
0	56	18
0	57	19
0	58	20
0	60	21
0	61	22
0	62	23
0	63	24
0	65	25
0	78	26
0	79	27
0	80	28
0	81	29
0	83	30
0	84	31
0	85	32
0	86	33
0	88	34
0	89	35
0	90	36
0	91	37
0	93	38
0	94	39
0	95	40
0	96	41
0	118	42
0	119	43
0	120	44
0	121	45
0	123	46
0	124	47
0	125	48
0	126	49
0	128	50
0	129	51
0	130	52
0	131	53
0	133	54
0	134	55
0	135	56
0	136	57
0	158	58
0	159	59
0	160	60
0	161	61
0	163	62
0	164	63
0	165	64
0	166	65
0	167	66
0	169	67
0	170	68
0	171	69
0	172	70
0	186	71
0	187	72
0	188	73
0	189	74
0	191	75
0	192	76
0	193	77
0	194	78
0	196	79
0	197	80
0	206	81
0	207	82
0	209	83
0	210	84
0	211	85
0	212	86
0	214	87
0	215	88
0	216	89
0	217	90
0	231	91
0	232	92
0	233	93
0	234	94
0	235	95
0	237	96
0	238	97
0	239	98
0	240	99
0	248	100
estimating workload which takes just one millisecond
end estimation
